Honey Flower,Базиликовый ,#4c2669,76,38,105
Palatinate Purple,Сливовый,#5a2464,90,36,100
Magenta Haze,Пурпурный,#994578,153,69,120
Trendy Pink,Светло-фиолетовый,#a35c98,162,92,152
Viola,Лавандовый,#c492b7,160,88,149
Languid Lavender,Сиреневый,#d9c8d9,216,202,219
Burnt umber,Бордовый,#862b2a,134,43,42
Tall Poppy,Вишневый,#b02a27,176,42,39
Lust,Красный,#da2119,218,33,25
Tango Pink,Умеренно-розовый,#de777a,222,119,122
Pastel Pink,Светло-розовый,#e1a3a3,225,163,163
Oyster Pink,Жемчужный розовый,#eacbd,234,203,209
Old Copper,Сандаловый ,#714d2b,113,77,43
Cumin,Кирпичный,#934828,147,72,40
Deep Carrot Orange,Морковный ,#c63,204,102,51
Indian Yellow,Абрикосовый,#e59d48,229,157,72
Apache,Светло-абрикосовый,#eebe6a,238,190,106
Chamois,Соломенный,#ecd7ae,241,218,178
Fuel Yellow,Одуванчиковый,#eeb625,238,182,37
Minion Yellow,Банановый,#eee655,238,230,85
Festival,Светло-нарциссовый,#f0e66a,245,239,161
Wheatfield,Миндальный,#f5eccd,245,236,205
Sherwood Green,Тёмно-зеленый,#004e2e,0,78,46
Dartmouth Green,Изумрудный,#00743c,0,116,60
Spanish Green,Зеленый,#009242,0,146,66
Fern,Папоротниковый,#63b76c,99,183,108
Eton Blue,Капустный,#a2d0a2,162,208,162
Sea Mist,Никелевый ,#c6e3c8,201,227,201
Biscay,Коамару,#292c63,41,44,99
St Patricks Blue,Фиолетово-сапфировый ,#2c2773,44,39,115
Minsk,Черничный,#3a3984,58,57,132
Ocean Boat Blue,Сине-лазурный ,#06c,0,127,190
Pale Cerulean,Аквамариновый ,#9cc,154,203,223
Mercury,Мраморный ,#dee4ea,222,228,234
White,Белый ,#ffffff,255,255,255
 Black,Черный ,#000000,0,0,0
Gainsboro,Перламутровый серый ,#d9dddc,217,221,220
Kangaroo,Серо-Бежевый ,#c6c7c2,198,199,194
Spanish Gray,Оловянный ,#989ba0,152,155,160
Hurricane,Каменый серый ,#877d7c,135,125,124
Gravel,Железный ,#4a4a4a,74,74,74
Jumbo,Стальной ,#797c81,121,124,129
Toast,Коричнево-Бежевый ,#997560,153,117,96
Tan,Персиково-бежевый ,#d6b192,214,177,146
Cavern Pink,Пудровый ,#e1c4bb,225,196,187
